food,date,meal
3 lindor milk chocolate truffles,2021/09/07,4
1 large burger king french fries,2021/09/07,5
2 lindor milk chocolate truffles,2021/09/07,6
1 banana,2021/09/08,1
35g pea protein powder,2021/09/08,2
360g whole milk,2021/09/08,2
7g brown sugar,2021/09/08,2
54g pea protein powder,2021/09/08,3
504g whole milk,2021/09/08,3
3 lindor milk chocolate truffles,2021/09/08,4
300g egg whites,2021/09/08,5
140g tomato,2021/09/08,5
4 walmart corn tortillas,2021/09/08,5
parmesan cheese,2021/09/08,5
3 cucumbers,2021/09/08,5
1 tbsp white sugar,2021/09/08,5
1 large burger king french fries,2021/09/08,6
250g chickpea salad 100g 140 kcal 7 17 5,2021/09/08,7
170g raspberries,2021/09/08,7
4 senor rico rice pudding,2021/09/08,8
1 medium banana,2021/09/09,1
1 medium banana,2021/09/09,2
253g greek,2021/09/09,2
13g brown sugar,2021/09/09,2
317g egg whites,2021/09/09,3
99g tomatoes,2021/09/09,3
4 corn tortillas 2 tortilla 46g 100kcal 1 20 2,2021/09/09,3
1 tbsp sugar,2021/09/09,3
5 cucumber,2021/09/09,3
137g greek yogurt,2021/09/09,4
13g brown sugar,2021/09/09,4
1 medium banana,2021/09/09,4
30g clancy's puffed corn cheese,2021/09/09,5
.,2021/09/09,5
266g wegmans apple cider 240ml 120 0 28 1,2021/09/09,5
3 pickles,2021/09/09,6
907g beef broth,2021/09/09,7
4 large eggs,2021/09/09,7
1 small onion,2021/09/09,7
2 mushrooms small,2021/09/09,7
2 tbsp soy sauce,2021/09/09,7
1 tbsp mirin,2021/09/09,7
2 bricks white rice noodles,2021/09/09,7
5 cucumbers,2021/09/09,7
146g greek,2021/09/09,8
14g brown sugar,2021/09/09,8
0.5 medium banana,2021/09/09,8
12 grapes,2021/09/09,8
30g clancy's puffed corn cheese,2021/09/09,9
1 cucumber large,2021/09/10,1
1 tbsp sugar,2021/09/10,1
245g brown rice,2021/09/10,2
11 pieces beef,2021/09/10,2
2 cucumbers,2021/09/10,2
200g brown rice,2021/09/10,2
285g cider,2021/09/10,3
298g greek,2021/09/10,4
12g brown sugar,2021/09/10,4
1 medium banana,2021/09/10,4
29g corn puffs,2021/09/10,5
30g corn puffs,2021/09/10,5
1.5 large burger king french fries,2021/09/11,1
1 medium banana,2021/09/11,2
1 can lentil soup,2021/09/11,3
2 tbsp soy sauce,2021/09/11,3
1 tbsp sugar,2021/09/11,3
1 large cucumber,2021/09/11,3
24g puffed corn,2021/09/11,4
30g popcorn,2021/09/11,5
358g apple cider,2021/09/11,6
1 medium banana,2021/09/11,7
500g rice and beef,2021/09/11,8
3 pickles,2021/09/11,9
118g gluten free pasta,2021/09/11,10
200g marinara sauce,2021/09/11,10
.5 small onion,2021/09/11,10
3 baby carrots,2021/09/11,10
2 tbsp soy sauce,2021/09/11,10
1 large cucumber,2021/09/11,10
1 tbsp sugar,2021/09/11,10
30g popcorn,2021/09/12,1
turkey,2021/09/12,2
gravy,2021/09/12,2
broccoli,2021/09/12,2
mashed potatoes,2021/09/12,2
30g popcorn,2021/09/12,3
1 medium humdingers milkshake :(,2021/09/12,4
12 macaroons 33g (3 units) 150kcal 8 19 3,2021/09/12,5
1 senor rico rice pudding,2021/09/12,6
44g apple straws 28g 140kcal 7 17 1,2021/09/12,6
1 senor rico rice pudding,2021/09/13,1
287g egg whites,2021/09/13,2
4 corn tortillas,2021/09/13,2
1 large cucumber,2021/09/13,2
1 tbsp sugar,2021/09/13,2
1 senor rico rice pudding,2021/09/13,3
51g apple straws,2021/09/13,4
3 eggplant parmesan pieces (600kcal each?),2021/09/13,5
3 eggplant parmesan pieces (500kcal each?),2021/09/13,6
80g apple straws,2021/09/13,7
2 pickles,2021/09/14,1
119g gluten free pasta,2021/09/14,2
4 large eggs,2021/09/14,2
2 medium onion,2021/09/14,2
313g tomato basil aldi pasta sauce 125g 70kcal 2.5 11 2,2021/09/14,2
3 tbsp soy sauce,2021/09/14,2
20g romano cheese,2021/09/14,2
1 tbsp sugar,2021/09/14,2
1 large cucumber,2021/09/14,2
313g egg whites,2021/09/14,3
4 corn tortillas,2021/09/14,3
1 medium avocado,2021/09/14,3
10g romano cheese,2021/09/14,3
1 large cucumber,2021/09/14,3
1 tbsp sugar,2021/09/14,3
2 pickles,2021/09/15,1
26g popcorn,2021/09/15,1
304g egg whites,2021/09/15,2
4 corn tortillas,2021/09/15,2
2pg romano cheese,2021/09/15,2
1 large cucumber,2021/09/15,2
1 tbsp sugar,2021/09/15,2
1 medium haas avocado,2021/09/15,2
1 medium bartlett pear,2021/09/15,2
1 large southwest salad chicken spjedies spiedie and rib pit,2021/09/15,3
.5 large fries,2021/09/15,3
5g popcorn,2021/09/16,1
2 pickles,2021/09/16,2
328g egg whites,2021/09/16,3
4 corn tortillas,2021/09/16,3
1 large cucumber,2021/09/16,3
1 tbsp sugar,2021/09/16,3
10g romano cheese,2021/09/16,3
1 medium avocado,2021/09/16,3
1 pickle,2021/09/16,4
2 medium onion,2021/09/16,5
114g gluten free pasta,2021/09/16,5
275 tomato sauce tomato basil onion aldi's,2021/09/16,5
2 tbsp soy sauce,2021/09/16,5
15g romano cheese,2021/09/16,5
1 medi avocado,2021/09/16,5
1 medium banana,2021/09/16,6
2 pickles,2021/09/16,7
2 medium onion,2021/09/16,8
794g deutsche kuche harvest potato soup,2021/09/16,8
2 tbsp soy sauce,2021/09/16,8
1 large cucumber,2021/09/16,8
1 tbsp sugar,2021/09/16,8
1 senor rico rice pudding,2021/09/17,1
141g ice cream aldi specially selected vanilla chocolate almond 136g 380kcal 26g 31g 7g,2021/09/17,2
1 senor rico rice pudding,2021/09/17,3
249g egg whites,2021/09/17,4
4 corn tortillas,2021/09/17,4
15g romano cheese,2021/09/17,4
1 senor rico rice pudding,2021/09/17,4
233g vanilla chocolate almond ice cream,2021/09/17,5
1 large burger king french fries,2021/09/17,6
208g egg whites,2021/09/17,7
4 corn tortillas,2021/09/17,7
1 can aldi lentil soup,2021/09/17,7
1 tbsp soy sauce,2021/09/17,7
150g aldi refried beans 130g 100kcal 0 18 6,2021/09/17,7
203 vanilla chocolate almond ice cream,2021/09/17,8
199g egg vegetable frittata,2021/09/18,1
227g greek yogurt non fat,2021/09/18,2
12g brown sugar,2021/09/18,2
1 medium banana,2021/09/18,2
1 senor rico rice pudding,2021/09/18,3
2 pickles,2021/09/18,3
244g egg whites,2021/09/18,4
4 corn tortillas 47g 2 tortillas 110kcal 1 22 2,2021/09/18,4
15g cheddar cheese,2021/09/18,4
453 green beans,2021/09/18,4
12g brow sugar,2021/09/18,4
2 tbsp soy sauce,2021/09/18,4
104g refried beans,2021/09/18,4
123g ice cream vanilla chocolate almond,2021/09/18,5
160g ice cream vanilla chocolate almond,2021/09/18,6
1 mango,2021/09/19,1
199g greek yogurt non-fat,2021/09/19,2
13g brown sugar,2021/09/19,2
2 pickles,2021/09/19,3
189g egg whites,2021/09/19,4
4 aldi's corn tortillas,2021/09/19,4
15g cheddar cheese,2021/09/19,4
192g refried beans,2021/09/19,4
29g puffed corn butter flavor 28g 160kcal 11 14 2,2021/09/19,5
1 large cucumber,2021/09/19,6
1 tbsp sugar,2021/09/19,6
1 large burger king french fries,2021/09/19,7
1 medium wendy's fries 350kcal,2021/09/19,7
2 pickles,2021/09/19,8
114g gluten free pasta,2021/09/19,9
4 large eggs,2021/09/19,9
10g parmesan cheese,2021/09/19,9
1 packet pesto sauce knorr 15g 0 9 0,2021/09/19,9
2 tbsp olive oil,2021/09/19,9
222g egg whites,2021/09/20,1
4 aldi corn tortillas,2021/09/20,1
2 tbsp soy sauce,2021/09/20,1
1 can lentil soup,2021/09/20,1
10g parmesan cheese,2021/09/20,1
1 large cucumber,2021/09/20,1
1 tbsp sugar,2021/09/20,1
4 pc cream cheese crab sushi rolls,2021/09/20,2
30g butter puffed corn,2021/09/20,3
25g butter puffed corn,2021/09/20,3
1 large burger king french fries,2021/09/20,4
144g greek yogurt,2021/09/20,5
13g brown sugar,2021/09/20,5
108 gluten free pasta,2021/09/20,6
312 aldi tomato sauce onion,2021/09/20,6
4 large eggs,2021/09/20,6
2 tbsp soy sauce,2021/09/20,6
15g parmesan cheese,2021/09/20,6
200g herring fillets in mango pepper sauce deutsche kuche 100g 220kcal 17 6 10,2021/09/20,6
32g butter flavored puffed corn,2021/09/21,1
3 pickles,2021/09/21,2
241g egg whites,2021/09/21,3
4 aldi corn tortillas,2021/09/21,3
15g parmesan cheese,2021/09/21,3
98g serious beam chipotle pinto beans 130g 150kcal .5 30 7,2021/09/21,3
1 large burger king french fries,2021/09/21,4
499g aldi veggie cauliflower pizza 4 * 125g 260kcal 12 22 14,2021/09/21,5
229g turkey hill all natural salted caramel ice cream  94g 210kcal 10 27 4,2021/09/21,5
222g egg whites,2021/09/22,1
4 aldi corn tortillas,2021/09/22,1
1 can lentil soup,2021/09/22,1
1 tbsp soy sauce,2021/09/22,1
2 medium cucumbers,2021/09/22,1
1 tbsp sugar,2021/09/22,1
28g butter puffed corn,2021/09/22,2
59g dried mangos 40g 130kcal 0 21 1,2021/09/22,3
31g dried mango,2021/09/22,4
234g greek,2021/09/22,5
1 medium banana,2021/09/22,5
18g brown sugar,2021/09/22,5
27g dried mango,2021/09/22,6
1 can lentil soup,2021/09/22,7
4 aldi corn tortillas,2021/09/22,7
15g cheddar cheese,2021/09/22,7
1 tbsp soy sauce,2021/09/22,7
1 medium banana,2021/09/23,1
28g cheddar popcorn,2021/09/23,1
1 medium banana,2021/09/23,2
28g cheddar popcorn,2021/09/23,3
202g egg whites,2021/09/23,4
4 aldi corn tortillas,2021/09/23,4
2 medium cucumbers,2021/09/23,4
1 tbsp sugar,2021/09/23,4
4 large eggs,2021/09/23,5
4 corn tortillas,2021/09/23,5
482 aldi roasted red pepper and tomato soup 2 * 240g 10 17 1,2021/09/23,5
1 tbsp soy sauce,2021/09/23,5
1 medium banana,2021/09/23,6
28g cheddar popcorn,2021/09/23,7
4 large eggs,2021/09/24,1
4 corn tortillas,2021/09/24,1
15g parmesan cheese,2021/09/24,1
2 tbsp soy sauce,2021/09/24,1
1 can deutsche kuche harvest potato soup,2021/09/24,1
1 package blackberries,2021/09/24,2
224g greek yogurt,2021/09/24,3
11g brown sugar,2021/09/24,3
1 medium apple,2021/09/24,3
213g egg whites,2021/09/24,4
4 corn tortillas,2021/09/24,4
1 can lentil soup,2021/09/24,4
1 tbsp soy sauce,2021/09/24,4
298g aldi chocolate ice cream,2021/09/24,5
73g dried mango,2021/09/24,5
40g dried mango,2021/09/25,1
18g dried mango,2021/09/25,2
25g  cheddar popcorn,2021/09/25,2
238h egg whites,2021/09/25,3
4 aldi corn tortillas,2021/09/25,3
1 can lentil soup,2021/09/25,3
148g refried beans,2021/09/25,3
1 tbsp soy sauce,2021/09/25,3
1 large cucumber,2021/09/25,3
1 tbsp sugar,2021/09/25,3
284g chocolate ice cream,2021/09/25,4
23g dried mango,2021/09/25,5
1207g chicken broth,2021/09/25,6
2 bricks aldi white rice ramen,2021/09/25,6
2 medium mushroom,2021/09/25,6
2 medium onion,2021/09/25,6
4 large eggs,2021/09/25,6
2 tbsp soy sauce,2021/09/25,6
1 tbsp mirin,2021/09/25,6
224g chocolate ice cream,2021/09/25,7
26g cheddar popcorn,2021/09/27,1
230g egg whites,2021/09/27,2
150g refried beans,2021/09/27,2
15g parmesan cheese,2021/09/27,2
1 can lentil soup,2021/09/27,2
3 large eggs,2021/09/27,2
4 aldi corn tortillas,2021/09/27,2
1 large cucumber,2021/09/27,2
1 tbsp sugar,2021/09/27,2
30g choceur dark chocolate almonds 30g 170kcal 12 10 4,2021/09/27,3
1 large burger king french fries,2021/09/27,4
178g egg whites,2021/09/27,5
4 aldi corn tortillas,2021/09/27,5
1 tbsp soy sauce,2021/09/27,5
15g parmesan cheese,2021/09/27,5
143g refried beans,2021/09/27,5
1 large cucumber,2021/09/27,5
1 tbsp sugar,2021/09/27,5
164g greek yogurt,2021/09/27,6
16g brown sugar,2021/09/27,6
1 medium banana,2021/09/27,6
1 medium apple,2021/09/27,6
2021927,2021/09/27,7
202g egg whites,2021/09/27,7
4 aldi corn tortillas,2021/09/27,7
2 tbsp soy sauce,2021/09/27,7
153g refried beans,2021/09/27,7
1 can lentil soup,2021/09/27,7
1 large cucumber,2021/09/27,7
1 tbsp sugar,2021/09/27,7
200g deutsche kuche hearing fillets in curry pineapple sauce 100g 210kcal 16 6 10,2021/09/27,7
161g greek yogurt,2021/09/27,8
13g brown sugar,2021/09/27,8
1 medium banana,2021/09/27,8
1 medium apple,2021/09/27,8
2 large sonic tater tots 580kcal * 2,2021/09/27,9
3 aldi fruit flavored snacks gummies 1 pouch 22g 70kcal 0 18 0,2021/09/27,10
210g egg whites,2021/09/27,11
101g refried beans,2021/09/27,11
4 aldi corn tortillas,2021/09/27,11
15g parmesan cheese,2021/09/27,11
1 large cucumber,2021/09/27,11
1 tbsp sugar,2021/09/27,11
3 packets gummies,2021/09/27,12
2 packets gummies,2021/09/28,1
3 packets gummies,2021/09/28,2
156g egg whites,2021/09/28,3
152g refried beans,2021/09/28,3
4 aldi corn tortillas,2021/09/28,3
1 tbsp soy sauce,2021/09/28,3
1 can lentil soup,2021/09/28,3
1 large cucumber,2021/09/28,3
1 tbsp sugar,2021/09/28,3
112g gluten free pasta,2021/09/28,4
292g pasta sauce tomato onion garlic,2021/09/28,4
1 tbsp soy sauce,2021/09/28,4
5 large eggs,2021/09/28,4
33 gluten free oreos 3 cookies 34g 160kcal 7 25 1,2021/09/28,5
1 large cucumber,2021/09/29,1
1 tbsp sugar,2021/09/29,1
60 tic tacs .5g (1 mint) 0kcal 0 0 0,2021/09/29,2
2 pickles,2021/09/29,3
906g chicken broth,2021/09/29,4
2 bricks white rice ramen,2021/09/29,4
4 large eggs,2021/09/29,4
2 tbsp soy sauce,2021/09/29,4
1 tbsp mirin,2021/09/29,4
2 medium cucumbers,2021/09/29,4
1 tbsp sugar,2021/09/29,4
1 large burger king french fries,2021/09/29,5
1 burger king ice cream cone in dish,2021/09/29,5
1 box deutsche kuche wafer rolls coated with chocolate flavor 4.5 * 28g 150kcal 8 17 2,2021/09/29,6
170g blackberries,2021/09/29,6
7 pieces strawberry hearts gummy candy 8 * 7 pieces 28g 90kcal 0 21 1,2021/09/29,6
7 pieces strawberry hearts gummy,2021/09/29,6
1 pickle,2021/09/29,7
169g egg whites,2021/09/29,8
169g refried beans,2021/09/29,8
232g white rice,2021/09/29,8
4 aldi corn tortillas,2021/09/29,8
2 tbsp soy sauce,2021/09/29,8
1 tsp canola oil,2021/09/29,8
14 strawberry hearts gummy,2021/09/29,9
7 strawberry hearts gummy,2021/09/29,10
16 strawberry hearts gummy.,2021/09/30,1
1 pickle,2021/09/30,1
155g egg whites,2021/09/30,2
153g refried beans,2021/09/30,2
5 aldi corn tortillas,2021/09/30,2
2 tbsp soy sauce,2021/09/30,2
205g greek yogurt,2021/09/30,3
13g brown sugar,2021/09/30,3
1 small apple,2021/09/30,3
202g egg whites,2021/09/30,4
159g refried beans,2021/09/30,4
1 large cucumber,2021/09/30,4
1 tbsp sugar,2021/09/30,4
4 aldi corn tortillas,2021/09/30,4
157g white rice,2021/09/30,4
1 tbsp soy sauce,2021/09/30,4
1 tsp canola oil,2021/09/30,4
153g greek yogurt,2021/09/30,5
13g brown sugar,2021/09/30,5
130g egg whites,2021/10/01,1
4 aldi corn tortillas,2021/10/01,1
1 can lentil soup,2021/10/01,1
25g cheddar popcorn,2021/10/01,2
1 large burger king french fries,2021/10/01,3
1 large sonic tater tots 580kcal,2021/10/01,3
1 sonic ice cream cone 250kcal,2021/10/01,3
22g kinder bueno chocolate bar 21g 120kcal 8 11 2,2021/10/01,4
aldi chocolate ice cream (use last weight),2021/10/01,5
73g white rice,2021/10/01,6
2 mango peppercorn fish fillet,2021/10/01,6
1 large cucumber,2021/10/01,6
1 tbsp sugar,2021/10/01,6
166g egg whites,2021/10/02,1
4 aldi corn tortillas,2021/10/02,1
1 large cucumber,2021/10/02,1
1 tbsp sugar,2021/10/02,1
1 can lentil soup,2021/10/02,1
157g refried beans,2021/10/02,1
104g aldi chocolate ice cream,2021/10/02,2
1 panera bread bowl chicken and wild rice soup,2021/10/02,3
1 panera baguette side,2021/10/02,3
2 bricks brown rice noodles (420kcal),2021/10/02,4
1 can haddock mango peppercorn sauce,2021/10/02,4
2 tbsp soy sauce,2021/10/02,4
1 tsp canola oil,2021/10/02,4
187g greek,2021/10/02,5
10g brown sugar,2021/10/02,5
1 medium apple,2021/10/02,5
1 can lentil soup,2021/10/03,1
187g greek yogurt,2021/10/03,2
11g brown sugar,2021/10/03,2
1 medium apple,2021/10/03,2
